"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Pressure (Pa)"
null,null,0.07937323,-21135.196581466014
null,null,0.07100829,-20724.893349887265
null,null,0.06307531,-20411.295728308345
null,null,0.05558228,-19666.17907669558
null,null,0.04853673,-18441.049207723176
null,null,0.04194577,-17396.96651430455
null,null,0.03581603,-16030.729913253535
null,null,0.03015369,-14281.593883370526
null,null,0.02496444,-11911.482834253598
null,null,0.02025351,-8894.550704134554
null,null,0.01602565,-5143.254370874106
null,null,0.01228511,-162.39362383657544
null,null,0.00903565,6325.491073361353
null,null,0.00628056,13772.06726710731
null,null,0.0040225899999999995,21949.617617986718
null,null,0.00226404,36721.10016954248
null,null,0.00100666,51701.81962829127
null,null,2.517299999999999E-4,51608.88291143518
null,null,0.0,51789.9173926841
null,null,2.5173000000000003E-4,51695.678064590065
null,null,0.00100666,51789.9173926841
null,null,0.00226404,36713.45246061217
null,null,0.00402259,21807.117801238757
null,null,0.006280560000000001,13576.511034906975
null,null,0.00903565,6108.185667544379
null,null,0.01228511,-389.98400987866466
null,null,0.01602565,-5370.365502840805
null,null,0.02025351,-9098.331512105417
null,null,0.02496444,-12100.277350396844
null,null,0.03015369,-14457.94673335978
null,null,0.03581603,-16199.197076745708
null,null,0.04194577,-17555.30454668484
null,null,0.04853673,-18587.998981026725
null,null,0.05558228,-19803.819585231624
null,null,0.06307531,-20540.81346651765
null,null,0.07100829,-20852.53880697771
null,null,0.07937323,-21259.235732333826
null,null,0.08816171,-21552.55544161739
null,null,0.09736487,-21729.95959060215
null,null,0.10697345,-21839.897338552088
null,null,0.11697778,-21889.37960628169
null,null,0.12736778,-21877.353943217604
null,null,0.13813298,-21806.257625245213
null,null,0.14926256,-21675.457955670656
null,null,0.16074529,-21500.38212658953
null,null,0.17256963,-21303.384036439034
null,null,0.18472367,-21072.689217023417
null,null,0.19719516,-20809.041862300888
null,null,0.20997155,-20503.503020013573
null,null,0.22303997,-20180.556265028375
null,null,0.23638727,-19833.2354079211
null,null,0.25,-19424.987792449636
null,null,0.26386446,-19077.388373975096
null,null,0.27796669,-18688.99711121877
null,null,0.29229249,-18253.188892071714
null,null,0.30682744,-17824.154144602704
null,null,0.32155689,-17384.191185514206
null,null,0.33646602,-16932.546245132657
null,null,0.35153981,-16469.07286877239
null,null,0.36676309,-15998.770594611186
null,null,0.38212053,-15524.4315131629
null,null,0.39759667,-15046.21467884178
null,null,0.41317591,-14569.255040542394
null,null,0.42884258,-14094.776709470514
null,null,0.4445809,-13616.271483160706
null,null,0.46037502,-13139.271294741737
null,null,0.47620904,-12662.224802853712
